ISO	Average_paradigm_size	LCS_threshold
aey	96.5623	0.1
amp	97.8587	0.1
ape	98.7904	0.1
apu	100.2304	0.1
arn	97.9667	0.1
arz	100.4283	0.1
bsn	98.9642	0.1
cha	96.2531	0.1
ckt	93.6312	0.1
deu	98.3166	0.1
dgz	96.8174	0.1
ell	99.9215	0.1
eng	97.4909	0.1
eus	97.9557	0.1
fij	94.4551	0.1
fin	98.8792	0.1
fra	99.5639	0.1
gug	94.1367	0.1
hae	97.4515	0.1
hau	94.8472	0.1
hin	87.9355	0.1
ind	98.0989	0.1
jac	98.233	0.1
kal	98.9725	0.1
kat	94.5845	0.1
kew	98.2839	0.1
khk	91.2932	0.1
kor	45.8856	0.1
laj	90.7697	0.1
mig	94.0733	0.1
mph	95.7042	0.1
mya	92.352	0.1
mzh	98.3739	0.1
naq	89.954	0.1
pes	84.5648	0.1
plt	99.8374	0.1
qvi	99.9987	0.1
rus	91.9722	0.1
sag	86.76	0.1
spa	99.493	0.1
swh	96.853	0.1
tgl	98.769	0.1
tha	66.3759	0.1
tur	96.5176	0.1
vie	74.8702	0.1
xsu	96.7345	0.1
yad	99.476	0.1
yaq	99.1563	0.1
yor	87.633	0.1
aey	90.7743	0.15
amp	92.4871	0.15
ape	94.9252	0.15
apu	98.4076	0.15
arn	92.5342	0.15
arz	98.5123	0.15
bsn	95.7355	0.15
cha	86.7021	0.15
ckt	82.6269	0.15
deu	94.8475	0.15
dgz	92.3594	0.15
ell	97.7159	0.15
eng	90.8879	0.15
eus	89.4252	0.15
fij	87.9029	0.15
fin	95.9664	0.15
fra	95.478	0.15
gug	82.0245	0.15
hae	90.9393	0.15
hau	85.5416	0.15
hin	80.5955	0.15
ind	95.1801	0.15
jac	92.8787	0.15
kal	94.0835	0.15
kat	81.0803	0.15
kew	95.003	0.15
khk	76.839	0.15
kor	45.7443	0.15
laj	81.8062	0.15
mig	86.8091	0.15
mph	88.1833	0.15
mya	79.8392	0.15
mzh	94.602	0.15
naq	78.4152	0.15
pes	74.8465	0.15
plt	98.434	0.15
qvi	97.8794	0.15
rus	76.837	0.15
sag	75.4779	0.15
spa	95.9341	0.15
swh	88.6483	0.15
tgl	94.0857	0.15
tha	56.5846	0.15
tur	90.6584	0.15
vie	71.7671	0.15
xsu	92.1774	0.15
yad	96.4856	0.15
yaq	94.815	0.15
yor	79.6496	0.15
aey	84.8388	0.2
amp	86.2558	0.2
ape	89.8085	0.2
apu	95.1193	0.2
arn	84.2306	0.2
arz	95.8569	0.2
bsn	90.9805	0.2
cha	77.5957	0.2
ckt	67.0876	0.2
deu	89.0264	0.2
dgz	85.7952	0.2
ell	94.4961	0.2
eng	82.6617	0.2
eus	78.921	0.2
fij	76.8228	0.2
fin	91.8128	0.2
fra	90.7428	0.2
gug	70.1673	0.2
hae	84.5749	0.2
hau	76.3689	0.2
hin	69.5395	0.2
ind	90.0063	0.2
jac	86.4174	0.2
kal	82.4678	0.2
kat	67.7283	0.2
kew	90.958	0.2
khk	65.4938	0.2
kor	42.8115	0.2
laj	65.4967	0.2
mig	80.359	0.2
mph	77.732	0.2
mya	64.4266	0.2
mzh	88.9352	0.2
naq	65.8775	0.2
pes	56.1817	0.2
plt	95.8875	0.2
qvi	95.1137	0.2
rus	63.2441	0.2
sag	59.6664	0.2
spa	91.433	0.2
swh	78.4761	0.2
tgl	88.0989	0.2
tha	46.2705	0.2
tur	85.6332	0.2
vie	65.9934	0.2
xsu	86.0295	0.2
yad	90.7854	0.2
yaq	89.5324	0.2
yor	69.7772	0.2
aey	77.98	0.25
amp	78.8203	0.25
ape	83.9405	0.25
apu	90.7193	0.25
arn	75.3269	0.25
arz	91.0426	0.25
bsn	85.1128	0.25
cha	67.3073	0.25
ckt	51.3417	0.25
deu	82.1548	0.25
dgz	80.0423	0.25
ell	88.9044	0.25
eng	73.9061	0.25
eus	64.7332	0.25
fij	65.4822	0.25
fin	85.9365	0.25
fra	83.2054	0.25
gug	57.8853	0.25
hae	74.9573	0.25
hau	65.5818	0.25
hin	62.9177	0.25
ind	85.2797	0.25
jac	78.7894	0.25
kal	66.4168	0.25
kat	53.0685	0.25
kew	85.7298	0.25
khk	54.4446	0.25
kor	38.6003	0.25
laj	56.0413	0.25
mig	73.1785	0.25
mph	63.9059	0.25
mya	48.9624	0.25
mzh	82.4869	0.25
naq	54.3894	0.25
pes	47.3104	0.25
plt	92.1977	0.25
qvi	91.1309	0.25
rus	50.5354	0.25
sag	49.9571	0.25
spa	85.0835	0.25
swh	67.1532	0.25
tgl	80.1556	0.25
tha	39.2747	0.25
tur	79.6912	0.25
vie	58.3299	0.25
xsu	79.7949	0.25
yad	82.5118	0.25
yaq	82.209	0.25
yor	61.6681	0.25
aey	70.1556	0.3
amp	71.3041	0.3
ape	75.7581	0.3
apu	85.139	0.3
arn	66.3516	0.3
arz	84.8457	0.3
bsn	78.5577	0.3
cha	57.4877	0.3
ckt	38.7126	0.3
deu	73.6779	0.3
dgz	73.4844	0.3
ell	80.8922	0.3
eng	64.1972	0.3
eus	52.1113	0.3
fij	58.7411	0.3
fin	78.7431	0.3
fra	74.1378	0.3
gug	47.0137	0.3
hae	65.5346	0.3
hau	54.6063	0.3
hin	56.6083	0.3
ind	79.3822	0.3
jac	70.1811	0.3
kal	51.0342	0.3
kat	41.0262	0.3
kew	80.5201	0.3
khk	45.4979	0.3
kor	38.2739	0.3
laj	49.6663	0.3
mig	65.1273	0.3
mph	51.9171	0.3
mya	36.5009	0.3
mzh	75.0894	0.3
naq	44.9009	0.3
pes	41.2681	0.3
plt	87.5218	0.3
qvi	86.7709	0.3
rus	40.0057	0.3
sag	42.4782	0.3
spa	76.6697	0.3
swh	56.5091	0.3
tgl	71.1408	0.3
tha	34.5112	0.3
tur	73.5268	0.3
vie	54.1433	0.3
xsu	73.3346	0.3
yad	73.4729	0.3
yaq	74.5635	0.3
yor	54.6806	0.3
aey	62.5184	0.35
amp	63.8564	0.35
ape	67.1227	0.35
apu	77.9339	0.35
arn	56.9914	0.35
arz	78.1509	0.35
bsn	70.5246	0.35
cha	48.5745	0.35
ckt	28.8674	0.35
deu	63.9623	0.35
dgz	65.6042	0.35
ell	71.0879	0.35
eng	53.8724	0.35
eus	41.3986	0.35
fij	48.0318	0.35
